Date,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades
28-June-2024,205.15,205.15,205.0,205.0,3042,51
27-June-2024,210.0,210.0,208.25,208.25,2404,53
26-June-2024,216.8,216.8,212.5,212.5,1833,48
25-June-2024,223.0,223.0,216.8,216.8,1186,42
24-June-2024,222.0,222.0,221.2,221.2,717,21
21-June-2024,220.4,220.4,220.3,220.4,3628,35
20-June-2024,218.95,218.95,216.1,216.1,1414,21
19-June-2024,221.5,221.5,220.5,220.5,1880,32
18-June-2024,226.8,226.8,225.0,225.0,6726,80
14-June-2024,214.5,222.4,214.5,222.4,15258,110
13-June-2024,218.05,218.05,218.05,218.05,4958,67
12-June-2024,222.5,222.5,222.5,222.5,6168,62
11-June-2024,211.95,211.95,211.0,211.95,8133,58
10-June-2024,201.45,201.9,199.9,201.9,13861,89
7-June-2024,185.0,192.3,185.0,192.3,11802,78
6-June-2024,172.75,183.15,172.7,183.15,7981,131
5-June-2024,172.6,181.25,164.6,174.45,4706,143
4-June-2024,179.85,179.85,169.4,173.25,8875,121
3-June-2024,187.5,193.0,175.55,178.3,23383,323
31-May-2024,187.6,187.6,183.85,184.25,4403,68
30-May-2024,187.6,187.6,187.6,187.6,6643,42
29-May-2024,180.6,183.95,177.2,183.95,4808,54
28-May-2024,184.7,184.7,180.6,180.6,5878,86
27-May-2024,182.1,186.9,182.1,184.2,12370,86
24-May-2024,183.75,183.75,183.75,183.75,6833,82
23-May-2024,187.45,187.45,187.45,187.45,5542,122
22-May-2024,191.25,191.25,191.25,191.25,2611,87
21-May-2024,195.15,195.15,195.15,195.15,11473,112
18-May-2024,199.1,199.1,199.1,199.1,645,7
17-May-2024,195.2,195.2,195.2,195.2,2701,31
16-May-2024,191.4,191.4,191.35,191.4,7445,48
15-May-2024,187.65,187.65,187.65,187.65,22348,143
14-May-2024,184.0,184.0,184.0,184.0,1053,55
13-May-2024,187.75,187.75,187.75,187.75,503,41
10-May-2024,191.55,191.55,191.55,191.55,1720,58
9-May-2024,195.45,195.45,195.45,195.45,2131,47
8-May-2024,199.4,199.4,199.4,199.4,2374,60
